table_name,relationships,foreign_keys,references,related_tables,referenced_tables,referencing_tables
public.accounts_user,17,0,17,16,0,16
public.files_bucket,5,1,4,5,1,4
public.sipstore_sip,4,1,3,4,1,3
public.pidstore_pid,4,0,4,3,0,3
public.github_releases,3,3,0,3,3,0
public.files_files,3,0,3,3,0,3
public.records_metadata,3,0,3,3,0,3
public.communities_community,3,1,2,3,1,2
public.communities_community_record,3,3,0,3,3,0
public.accessrequests_request,3,3,0,2,2,0
public.files_multipartobject,3,2,1,3,2,1
public.webhooks_events,2,1,1,2,1,1
public.accessrequests_link,2,1,1,2,1,1
public.accounts_role,2,0,2,2,0,2
public.accounts_userrole,2,2,0,2,2,0
public.files_object,2,2,0,2,2,0
public.github_repositories,2,1,1,2,1,1
public.oauth2server_client,2,1,1,2,1,1
public.oauth2server_token,2,2,0,2,2,0
public.oauthclient_remoteaccount,2,1,1,2,1,1
public.pidrelations_pidrelation,2,2,0,1,1,0
public.records_buckets,2,2,0,2,2,0
public.sipstore_recordsip,2,2,0,2,2,0
public.sipstore_sipfile,2,2,0,2,2,0
public.sipstore_sipmetadata,2,2,0,2,2,0
public.access_actionsroles,1,1,0,1,1,0
public.communities_featured_community,1,1,0,1,1,0
public.pidstore_redirect,1,1,0,1,1,0
public.files_location,1,0,1,1,0,1
public.files_multipartobject_part,1,1,0,1,1,0
public.sipstore_sipmetadatatype,1,0,1,1,0,1
public.files_buckettags,1,1,0,1,1,0
public.accounts_user_session_activity,1,1,0,1,1,0
public.transaction,1,1,0,1,1,0
public.access_actionsusers,1,1,0,1,1,0
public.userprofiles_userprofile,1,1,0,1,1,0
public.oauthclient_remotetoken,1,1,0,1,1,0
public.oauthclient_useridentity,1,1,0,1,1,0
