"table_name","column_name","data_type"
"access_actionsroles","exclude","boolean"
"access_actionsroles","role_id","integer"
"access_actionsroles","argument","character varying"
"access_actionsroles","id","integer"
"access_actionsroles","action","character varying"
"access_actionssystemroles","exclude","boolean"
"access_actionssystemroles","action","character varying"
"access_actionssystemroles","argument","character varying"
"access_actionssystemroles","role_name","character varying"
"access_actionssystemroles","id","integer"
"access_actionsusers","argument","character varying"
"access_actionsusers","exclude","boolean"
"access_actionsusers","id","integer"
"access_actionsusers","user_id","integer"
"access_actionsusers","action","character varying"
"accessrequests_link","created","timestamp without time zone"
"accessrequests_link","owner_user_id","integer"
"accessrequests_link","id","integer"
"accessrequests_link","description","text"
"accessrequests_link","revoked_at","timestamp without time zone"
"accessrequests_link","token","bytea"
"accessrequests_link","title","character varying"
"accessrequests_link","expires_at","timestamp without time zone"
"accessrequests_request","justification","text"
"accessrequests_request","sender_full_name","character varying"
"accessrequests_request","sender_user_id","integer"
"accessrequests_request","receiver_user_id","integer"
"accessrequests_request","status","character"
"accessrequests_request","created","timestamp without time zone"
"accessrequests_request","modified","timestamp without time zone"
"accessrequests_request","message","text"
"accessrequests_request","link_id","integer"
"accessrequests_request","id","integer"
"accessrequests_request","sender_email","character varying"
"accessrequests_request","recid","integer"
"accounts_role","description","character varying"
"accounts_role","name","character varying"
"accounts_role","id","integer"
"accounts_user","current_login_ip","character varying"
"accounts_user","last_login_ip","character varying"
"accounts_user","email","character varying"
"accounts_user","last_login_at","timestamp without time zone"
"accounts_user","id","integer"
"accounts_user","login_count","integer"
"accounts_user","confirmed_at","timestamp without time zone"
"accounts_user","current_login_at","timestamp without time zone"
"accounts_user","password","character varying"
"accounts_user","active","boolean"
"accounts_userrole","role_id","integer"
"accounts_userrole","user_id","integer"
"accounts_user_session_activity","ip","character varying"
"accounts_user_session_activity","os","character varying"
"accounts_user_session_activity","browser_version","character varying"
"accounts_user_session_activity","browser","character varying"
"accounts_user_session_activity","created","timestamp without time zone"
"accounts_user_session_activity","updated","timestamp without time zone"
"accounts_user_session_activity","sid_s","character varying"
"accounts_user_session_activity","user_id","integer"
"accounts_user_session_activity","country","character varying"
"accounts_user_session_activity","device","character varying"
"administrable_role_authorizations","role_name","character varying"
"administrable_role_authorizations","is_grantable","character varying"
"administrable_role_authorizations","grantee","character varying"
"alembic_version","version_num","character varying"
"applicable_roles","role_name","character varying"
"applicable_roles","is_grantable","character varying"
"applicable_roles","grantee","character varying"
"attributes","attribute_udt_catalog","character varying"
"attributes","scope_catalog","character varying"
"attributes","scope_schema","character varying"
"attributes","scope_name","character varying"
"attributes","maximum_cardinality","integer"
"attributes","dtd_identifier","character varying"
"attributes","is_derived_reference_attribute","character varying"
"attributes","attribute_name","character varying"
"attributes","udt_name","character varying"
"attributes","udt_schema","character varying"
"attributes","udt_catalog","character varying"
"attributes","interval_precision","integer"
"attributes","interval_type","character varying"
"attributes","datetime_precision","integer"
"attributes","numeric_scale","integer"
"attributes","numeric_precision_radix","integer"
"attributes","numeric_precision","integer"
"attributes","collation_name","character varying"
"attributes","collation_schema","character varying"
"attributes","collation_catalog","character varying"
"attributes","character_set_name","character varying"
"attributes","character_set_schema","character varying"
"attributes","character_set_catalog","character varying"
